1.6678204934e-05	1.1403302682e+03	7.5093439217e+02	-4.7986053684e+02	2.9478518211e+00	1.1475383813e+00	1.2535720897e+02
3.3356409867e-05	2.1536988568e+03	1.4312205450e+03	-9.0546110737e+02	2.7802248803e+01	2.3637954642e+00	2.4950702458e+02
5.0034614801e-05	3.0734563071e+03	2.0491198039e+03	-1.3063469426e+03	6.2667187995e+01	3.7228804317e+00	3.7128159116e+02
6.6712819735e-05	3.9420952070e+03	2.6211651870e+03	-1.6985895514e+03	9.0294492258e+01	5.2967796041e+00	4.8954264084e+02
8.3391024668e-05	4.7680112164e+03	3.1514718844e+03	-2.0720990992e+03	1.0216611371e+02	7.1542864344e+00	6.0318808222e+02
1.0006922960e-04	5.5431887953e+03	3.6381764260e+03	-2.4136981154e+03	9.7496659031e+01	9.3620082779e+00	7.1116938707e+02
1.1674743454e-04	6.2586884760e+03	4.0807586434e+03	-2.7172359319e+03	7.9160570172e+01	1.1980966991e+01	8.1250435066e+02
1.3342563947e-04	6.9098517796e+03	4.4823544455e+03	-2.9820061909e+03	5.1012854695e+01	1.5069307838e+01	9.0628736730e+02
1.5010384440e-04	7.4966144396e+03	4.8491660539e+03	-3.2092323391e+03	1.6670097516e+01	1.8676897064e+01	9.9170127381e+02
1.6678204934e-04	8.0217228511e+03	5.1886857239e+03	-3.4001506125e+03	-2.0893471066e+01	2.2848646751e+01	1.0680250758e+03
1.8346025427e-04	8.4883974173e+03	5.5076708006e+03	-3.5554703593e+03	-5.9438380434e+01	2.7622711536e+01	1.1346380032e+03
2.0013845920e-04	8.8984917371e+03	5.8104569532e+03	-3.6753230413e+03	-9.7513275005e+01	3.3029535754e+01	1.1910281513e+03
2.1681666414e-04	9.2515182775e+03	6.0979114303e+03	-3.7592414237e+03	-1.3453765839e+02	3.9092924017e+01	1.2367958027e+03
2.3349486907e-04	9.5444507445e+03	6.3670901108e+03	-3.8061675368e+03	-1.7084133638e+02	4.5826972975e+01	1.2716593313e+03
2.5017307401e-04	9.7720865179e+03	6.6115776958e+03	-3.8145526752e+03	-2.0760185738e+02	5.3239381847e+01	1.2954516247e+03
2.6685127894e-04	9.9277986464e+03	6.8223882299e+03	-3.7825982640e+03	-2.4663708517e+02	6.1328191689e+01	1.3081219918e+03
2.8352948387e-04	1.0004577827e+04	6.9892896162e+03	-3.7086203226e+03	-2.9008127936e+02	7.0084676379e+01	1.3097339587e+03
3.0020768881e-04	9.9961858938e+03	7.1023364144e+03	-3.5914485577e+03	-3.3999552781e+02	7.9489879543e+01	1.3004660312e+03
3.1688589374e-04	9.8982869846e+03	7.1533870854e+03	-3.4308128966e+03	-3.9797858505e+02	8.9517717037e+01	1.2806030260e+03
3.3356409867e-04	9.7093884698e+03	7.1373857021e+03	-3.2276573972e+03	-4.6483135759e+02	1.0013433088e+02	1.2505312901e+03
3.5024230361e-04	9.4314638300e+03	7.0532201466e+03	-2.9843407409e+03	-5.4033422697e+02	1.1129869689e+02	1.2107323241e+03
3.6692050854e-04	9.0701407521e+03	6.9040338815e+03	-2.7046686519e+03	-6.2316923386e+02	1.2296148234e+02	1.1617774223e+03
3.8359871347e-04	8.6344472103e+03	6.6969541890e+03	-2.3937824793e+03	-7.1100143312e+02	1.3506669836e+02	1.1043171045e+03
4.0027691841e-04	8.1361190953e+03	6.4422716929e+03	-2.0578652615e+03	-8.0070278293e+02	1.4755264239e+02	1.0390703679e+03
4.1695512334e-04	7.5886045550e+03	6.1522116177e+03	-1.7037548225e+03	-8.8869347348e+02	1.6035152125e+02	9.6681664631e+02
4.3363332828e-04	7.0058783109e+03	5.8394686274e+03	-1.3384851309e+03	-9.7133711776e+02	1.7338924967e+02	8.8838652919e+02
4.5031153321e-04	6.4012263026e+03	5.5157190805e+03	-9.6880602632e+02	-1.0453489958e+03	1.8658932291e+02	8.0464884247e+02
4.6698973814e-04	5.7862035721e+03	5.1903362641e+03	-6.0078456706e+02	-1.1081452457e+03	1.9987010060e+02	7.1650100127e+02
4.8366794308e-04	5.1698709289e+03	4.8694782905e+03	-2.3949574894e+02	-1.1580902952e+03	2.1314760347e+02	6.2485699657e+02
5.0034614801e-04	4.5584208167e+03	4.5556809170e+03	1.1113698692e+02	-1.1946097895e+03	2.2633537730e+02	5.3063961154e+02
