-1.000000 	0.5e+6	    1.0e+6  	2.0e+6  	3.0e+6	    4.0e+6	    5.0e+6	    6.0e+6	    7.0e+6	    8.0e+6	    9.0e+6      10e+6	    12e+6	    14e+6   	16e+6	    18e+6	    20e+6	    40e6          -1
-1200.0	0.000002	-0.000001	-0.000002	-0.000000	0.000002	0.000000	-0.000002	-0.000001	0.000002	0.000001	-0.000001	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000
-1175.0	0.000006	-0.000003	-0.000006	-0.000001	0.000005	0.000002	-0.000003	-0.000004	0.000002	0.000002	0.000000	-0.000001	0.000000	-0.000000	0.000000	-0.000000	-0.000001	-0.000001
-1150.0	0.000015	-0.000006	-0.000013	-0.000006	0.000008	0.000005	-0.000002	-0.000007	0.000002	0.000004	0.000001	-0.000001	0.000001	-0.000001	0.000001	-0.000001	-0.000003	-0.000003
-1125.0	0.000035	-0.000009	-0.000025	-0.000015	0.000008	0.000010	0.000001	-0.000009	0.000003	0.000005	0.000002	-0.000003	0.000003	-0.000003	0.000002	-0.000002	-0.000006	-0.000006
-1100.0	0.000071	-0.000007	-0.000038	-0.000031	0.000003	0.000013	0.000004	-0.000011	0.000005	0.000008	0.000004	-0.000005	0.000004	-0.000004	0.000004	-0.000003	-0.000012	-0.000012
-1075.0	0.000132	0.000007	-0.000046	-0.000048	-0.000006	0.000010	0.000002	-0.000017	0.000005	0.000011	0.000007	-0.000006	0.000007	-0.000006	0.000005	-0.000004	-0.000021	-0.000021
-1050.0	0.000230	0.000045	-0.000037	-0.000056	-0.000012	0.000009	-0.000002	-0.000027	0.000001	0.000010	0.000007	-0.000010	0.000008	-0.000009	0.000007	-0.000006	-0.000039	-0.000039
-1025.0	0.000376	0.000120	0.000003	-0.000037	0.000005	0.000026	0.000011	-0.000024	0.000008	0.000018	0.000014	-0.000010	0.000013	-0.000010	0.000011	-0.000007	-0.000086	-0.000086
-1000.0	0.000583	0.000247	0.000091	0.000026	0.000066	0.000087	0.000066	0.000019	0.000054	0.000066	0.000060	0.000027	0.000056	0.000026	0.000051	0.000027	-0.000112	-0.000112
-975.0	0.000863	0.000441	0.000242	0.000152	0.000190	0.000211	0.000185	0.000124	0.000164	0.000178	0.000170	0.000126	0.000158	0.000118	0.000147	0.000116	-0.000100	-0.000100
-950.0	0.001226	0.000711	0.000466	0.000349	0.000387	0.000407	0.000374	0.000297	0.000338	0.000351	0.000339	0.000280	0.000313	0.000261	0.000293	0.000251	-0.000075	-0.000075
-925.0	0.001683	0.001063	0.000768	0.000619	0.000655	0.000670	0.000625	0.000527	0.000566	0.000577	0.000560	0.000481	0.000516	0.000449	0.000484	0.000431	-0.000042	-0.000042
-900.0	0.002242	0.001502	0.001148	0.000960	0.000988	0.000992	0.000932	0.000806	0.000844	0.000852	0.000828	0.000729	0.000764	0.000680	0.000717	0.000650	-0.000003	-0.000003
-875.0	0.002911	0.002031	0.001605	0.001369	0.001381	0.001371	0.001291	0.001136	0.001172	0.001177	0.001147	0.001022	0.001057	0.000953	0.000992	0.000910	0.000040	0.000040
-850.0	0.003700	0.002650	0.002140	0.001842	0.001834	0.001807	0.001707	0.001518	0.001552	0.001555	0.001515	0.001361	0.001397	0.001269	0.001311	0.001210	0.000087	0.000087
-825.0	0.004617	0.003366	0.002754	0.002382	0.002351	0.002306	0.002185	0.001957	0.001988	0.001986	0.001938	0.001749	0.001786	0.001631	0.001676	0.001555	0.000138	0.000138
-800.0	0.005676	0.004186	0.003454	0.002996	0.002939	0.002877	0.002731	0.002457	0.002485	0.002479	0.002419	0.002191	0.002229	0.002044	0.002093	0.001947	0.000193	0.000193
-775.0	0.006894	0.005122	0.004249	0.003691	0.003608	0.003527	0.003352	0.003025	0.003049	0.003039	0.002968	0.002693	0.002734	0.002512	0.002567	0.002392	0.000253	0.000253
-750.0	0.008290	0.006190	0.005152	0.004480	0.004369	0.004267	0.004059	0.003669	0.003691	0.003677	0.003592	0.003264	0.003309	0.003044	0.003107	0.002898	0.000318	0.000318
-725.0	0.009891	0.007408	0.006179	0.005377	0.005235	0.005110	0.004864	0.004402	0.004423	0.004405	0.004304	0.003913	0.003964	0.003650	0.003722	0.003475	0.000391	0.000391
-700.0	0.011728	0.008800	0.007350	0.006399	0.006224	0.006074	0.005782	0.005237	0.005258	0.005235	0.005116	0.004654	0.004712	0.004341	0.004425	0.004132	0.000472	0.000472
-675.0	0.013840	0.010395	0.008688	0.007565	0.007356	0.007177	0.006833	0.006191	0.006214	0.006186	0.006046	0.005501	0.005569	0.005131	0.005229	0.004884	0.000562	0.000562
